Nombre De La Empresa, Cantidad De Sercicios Realizados El 28/12, Empresas que reportaron servicios el 28 de Diciembre = 90
"GRAND TRANSPORTATION SERVICES INC      ",2530
"CAIRO TRANSPORTATION INC               ",2052
"R TRANSPORT INC                        ",1576
"GRAND LIMO & CAR SERVICE INC.          ",1570
"EXIT CAR SERVICE INC.                  ",1390
"JOY LUXURY INC                         ",1357
"ZYNC INC                               ",1166
"PIA CAR LIMO. INC.                     ",959
"NY CAR & LIMO SERVICES INC.            ",797
"BANGLA CAR & LIMO. SERVICE INC.        ",729
"JOY CAR SERVICES INC.                  ",621
"EAGER LIMO SERVICE INC.                ",527
"COLUMBIA STREET LIMOUSINE SERVICE, INC.",470
"MILKY WAY LIMO CORP                    ",426
"REPUBLICA CAR & LIMO SERVICE CORP.     ",420
"NO BASE                                ",408
"G.T.N.Y. CAR SERVICE, INC.             ",404
"MY STREET CAR & LIMO SVC INC.          ",391
"ALL QUEENS CAR & LIMOUSINE INC.        ",381
"TAP & RIDE,INC.                        ",356
"LAPUMA TRANSPORTATION GROUP,LLC        ",329
"DIPLO RAD DISP INC                     ",307
"PREMIUM RADIO DISP & MULTI SVC         ",300
"FIRST CLASS C/L SVC CORP               ",294
"CAIRO LIMO SERVICE INC.                ",273
"APOLLO RADIO DISPATCH INC.             ",269
"RIVERSIDE RADIO DISPATCHER             ",266
"R C AUDUBON SVC INC                    ",255
"EILAT TRANSPORTATION CORP              ",241
"IVOIRE LIMO INC.                       ",231
"NOVAK GLOBAL, INC.                     ",218
"ACCESS TRANSPORTATION GROUP, LLC       ",210
"KALIA & SONS LIMOUSINE, INC.           ",205
"UNITED EXP C/L SVCE                    ",203
"V.I.T. CAR SERVICE, INC.               ",189
"CHARGE AND RIDE INC                    ",186
"MALCOLM LIMO EXPRESS CORP.             ",182
"AMERICAN DREAM CAR SERVICE INC.        ",177
"AMK LUXURY CAR & LIMO INC.             ",174
"ALLTOWN LIMO CORP.                     ",169
"HOYT LIMO & SVC CORP                   ",166
"YOURS CAR SERVICE INC                  ",160
"UNION RADIO DISPATCH INC               ",151
"KENNEDY RAD DISP INC                   ",149
"ROYAL CAR & LIMO SERVICE INC.          ",130
"EARLY BIRD CAR SERVICE INC             ",126
"SUPER CLASS RADIO DISP INC             ",126
"COOPERATIVA CLBNA DE CON INC           ",113
"R & N CAR SERVICE INC.                 ",111
"HIGH CLASS BRONX LIMO C/S CORP         ",106
"GEORGE TOWN MANAGEMENT INC             ",98
"WATSON CAR SERVICE INC.                ",98
"JPAN TRANSPORTATION INC                ",89
"EL BARRIO'S CAR SERVICE LLC            ",88
"CLEAN AIR CAR SERVICE AND PARKING CORP.",85
"NEW SUPERIOR RADIO GRP CORP            ",84
"KISS CAR SERVICE INC                   ",78
"PROFESSIONAL CAR SERVICE INC           ",70
"LLAMA LIMO C/S CORP                    ",69
"R N D TRANSPORTATION, INC.             ",69
"NEW MEXICANA CAR SERVICE II INC.       ",68
"NY ATLIXCO CAR SERVICE INC             ",61
"CHAMPION CAR & LIMO SVC. INC.          ",54
"GLS TRANS INC                          ",51
"CLASSIC CAR SERVICE CORP.              ",50
"SAETA CAR SERVICE INC.                 ",45
"ABBA LOCAL TRANSPORTATION INC          ",34
"X RADIO DISPATCHER INC.                ",32
"THE NEW BROOKLYN C/S INC               ",32
"NEW HARLEM C/S INC                     ",32
"PREMIUM BRONX CORP                     ",29
"FREEDOM LIMO & CAR SERVICE             ",27
"YELLOWSTONE TRANSPORTATION INC.        ",27
"KOOP DISPATCHING INC.                  ",26
"NEW DAYNIGHT CAR SVCE                  ",26
"3210 WEBSTER AV PRESTIGE C/S           ",26
"NEW PRONTO TRANSP INC                  ",25
"SEAMAN RADIO DISPATCHERS INC           ",25
"ECONOMY CAR SERVICE, LLC               ",24
"THE EXCELLENT C/S INC                  ",24
"NEW EXPERIENCE #1 INC                  ",24
"DALLAS LIMO, INC                       ",23
"AFRO CAR SERVICE CORP                  ",23
"CIBAO RADIO DISPATCH                   ",23
"FRIENDLY BEST-WAY TRANSPORTATION, INC. ",23
"CONTINENTAL C/L SVCE                   ",21
"HARLEM CARS INC.                       ",20
"BOERUM HILL CAR & LIMO SERVICE INC.    ",19
"DREAMLAND CAR & LIMO.SVC INC.          ",16
"GO CAR CORP.                           ",15
